mag_x_raw,mag_y_raw,mag_z_raw
-300,-30,9
-300,-30,8
-300,-30,8
-300,-30,8
-300,-30,9
-299,-30,9
-300,-30,8
-300,-29,8
-299,-29,8
-300,-30,8
-300,-30,8
-300,-30,8
-300,-29,8
-300,-30,8
-300,-30,8
-300,-30,8
-300,-30,8
-300,-30,8
-300,-30,8
-300,-30,8
-300,-30,8
-300,-30,8
-300,-30,8
-300,-30,8
-300,-29,8
-300,-30,8
-300,-30,8
-300,-30,8
-300,-30,8
-300,-30,8
-301,-30,7
-301,-29,8
-299,-27,9
-292,-20,14
-286,-14,18
-281,-10,15
-277,-5,10
-272,1,9
-269,9,10
-266,17,11
-262,27,10
-259,38,8
-255,52,9
-251,65,12
-247,77,14
-242,90,15
-237,101,14
-230,111,11
-223,121,8
-216,130,6
-208,139,6
-200,149,8
-192,158,12
-185,165,15
-179,172,17
-161,185,17
-150,191,16
-140,195,15
-132,198,16
-122,204,18
-110,209,22
-97,212,25
-85,216,25
-74,217,24
-62,219,23
-50,219,23
-39,219,21
-27,218,20
-16,216,17
-5,214,15
3,212,15
7,212,17
5,213,19
-4,217,23
-19,221,26
-35,223,29
-52,223,29
-70,222,28
-89,219,25
-108,214,24
-128,207,26
-147,200,30
-164,189,30
-180,178,30
-193,166,28
-205,152,25
-217,139,23
-226,127,24
-235,113,24
-242,100,25
-248,88,26
-254,75,27
-259,62,30
-263,48,31
-266,33,30
-268,18,30
-270,3,33
-270,-11,34
-269,-26,33
-267,-44,31
-264,-58,28
-260,-71,25
-255,-84,25
-240,-117,31
-227,-136,31
-209,-155,27
-190,-172,26
-169,-187,26
-149,-200,28
-129,-208,25
-114,-211,19
-101,-212,11
-88,-214,11
-81,-215,11
-79,-217,12
-83,-217,12
-86,-218,14
-87,-217,14
-81,-215,12
-69,-213,10
-51,-207,9
-31,-199,11
-11,-186,14
4,-172,19
16,-160,23
23,-153,27
32,-151,31
39,-150,32
46,-148,31
54,-145,31
62,-140,34
70,-135,38
77,-129,41
83,-123,45
91,-117,46
99,-111,46
107,-104,44
115,-96,44
123,-87,44
130,-77,43
136,-66,41
141,-53,38
145,-41,35
147,-33,33
148,-28,32
148,-25,31
148,-26,32
147,-31,32
145,-41,33
140,-55,35
132,-71,37
124,-87,39
112,-100,41
112,-100,41
65,-129,39
56,-137,42
46,-143,41
35,-148,38
21,-151,37
5,-153,35
-8,-153,33
-21,-154,25
-32,-156,17
-46,-161,8
-62,-165,2
-78,-169,-2
-92,-171,-4
-106,-171,-4
-120,-171,-4
-134,-172,-5
-147,-168,-7
-162,-161,-11
-178,-152,-13
-192,-141,-14
-206,-130,-11
-218,-116,-9
