mag_x_raw,mag_y_raw,mag_z_raw
55,40,-215
54,40,-214
55,40,-214
54,39,-215
54,40,-214
55,39,-214
54,39,-215
54,39,-215
54,40,-215
55,39,-215
54,40,-215
55,39,-214
55,39,-214
54,39,-214
55,39,-215
54,39,-214
54,39,-214
54,39,-215
54,39,-215
54,40,-214
55,39,-214
55,39,-215
55,39,-215
55,39,-214
54,40,-214
55,39,-215
55,39,-215
54,39,-215
54,39,-215
55,39,-215
54,40,-214
54,39,-214
55,40,-215
55,39,-214
54,39,-214
54,40,-214
55,39,-214
55,39,-215
54,39,-215
54,40,-215
54,39,-215
54,39,-214
54,39,-214
54,39,-215
55,39,-215
54,39,-214
54,39,-215
55,39,-215
54,40,-215
53,39,-215
55,37,-214
55,38,-211
56,44,-211
54,47,-207
49,38,-198
43,39,-197
35,40,-196
32,41,-196
29,40,-194
28,38,-192
28,38,-192
27,42,-192
26,47,-193
25,51,-194
24,53,-194
26,51,-193
28,44,-191
30,32,-186
30,15,-176
30,-2,-164
31,-18,-147
31,-32,-127
31,-44,-105
31,-53,-81
29,-59,-59
30,-63,-35
30,-64,-12
28,-62,12
22,-59,34
16,-53,56
6,-45,77
-4,-34,95
-15,-20,113
-22,-4,128
-22,11,138
-18,19,144
-12,20,145
-5,14,141
3,0,134
16,-18,117
33,-35,92
51,-47,60
66,-53,26
81,-52,-9
91,-46,-44
96,-34,-78
93,-22,-109
82,-10,-134
68,5,-156
52,21,-172
38,38,-184
31,53,-190
31,53,-190
39,84,-193
51,85,-191
62,81,-187
69,70,-184
68,54,-182
62,37,-178
54,22,-173
46,11,-168
39,1,-161
27,-7,-156
14,-10,-153
4,-10,-154
1,-6,-158
0,2,-164
-2,12,-172
-4,22,-179
-9,34,-185
-11,47,-190
-13,59,-193
-13,72,-195
-10,83,-195
-6,92,-196
-2,99,-194
-3,106,-193
-7,112,-192
-10,117,-190
-9,121,-188
-7,126,-185
1,137,-181
17,152,-170
39,167,-151
65,180,-124
86,187,-90
101,188,-56
112,184,-25
118,177,1
125,167,23
131,155,39
136,144,48
142,135,53
145,128,57
146,121,60
145,116,68
141,108,79
138,97,88
135,88,95
133,77,99
130,65,103
130,65,103
126,18,89
126,8,81
124,-2,72
120,-12,63
113,-23,51
105,-33,38
99,-41,23
90,-48,4
74,-54,-18
61,-56,-45
46,-52,-76
24,-43,-106
1,-31,-128
-17,-18,-144
-29,-5,-156
-35,11,-167
-34,26,-177
-30,39,-184
-25,48,-188
-16,53,-191
-6,56,-192
3,56,-193
10,56,-193
15,53,-192
18,51,-192
16,49,-191
10,49,-191
4,52,-192
3,56,-193
0,61,-194
-4,67,-194
-7,73,-195
-8,82,-195
-9,91,-195
-14,103,-193
-22,115,-189
-31,125,-183
-39,131,-178
-47,135,-174
-56,138,-168
-67,139,-162
-78,142,-155
-84,146,-146
-88,150,-141
-89,157,-132
-90,164,-122
-90,171,-112
-84,181,-100
-84,181,-100
-35,208,-64
-9,213,-52
14,214,-40
38,211,-25
58,207,-10
83,198,4
104,185,14
122,172,23
137,156,31
144,144,38
151,131,42
155,121,48
156,111,55
156,102,61
156,96,63
157,92,63
159,87,61
162,80,59
165,75,53
169,65,45
169,58,42
169,55,41
169,55,42
168,58,44
166,58,49
163,57,55
162,54,56
162,52,57
160,46,57
157,34,56
150,22,59
144,16,63
139,9,64
134,2,63
131,-6,56
127,-15,45
122,-25,29
114,-35,5
103,-43,-26
92,-41,-61
79,-36,-94
62,-27,-122
45,-18,-141
32,-5,-157
24,10,-170
21,26,-181
19,42,-189
17,60,-194
21,77,-196
28,90,-194
31,85,-195
34,76,-194
39,68,-193
43,59,-190
51,50,-186
57,40,-180
61,29,-174
59,17,-167
56,7,-161
50,-4,-153
41,-15,-144
26,-26,-133
11,-36,-118
-3,-46,-97
-20,-55,-70
-40,-57,-40
-60,-54,-9
-73,-47,21
-85,-35,47
-95,-21,68
-102,-7,81
-104,3,91
-105,9,97
-106,16,101
-107,21,103
-104,20,104
-96,10,104
-90,-1,99
-83,-13,90
-76,-24,80
-69,-32,72
-64,-35,69
-62,-34,72
-62,-29,80
-65,-22,90
-71,-10,102
-74,3,112
-74,15,121
-75,28,127
-77,41,133
-76,57,137
-74,75,138
-72,94,137
-66,112,133
-59,125,130
-55,130,127
-58,130,127
-61,133,125
-61,133,125
-54,172,87
-48,179,78
-37,182,78
-23,181,82
-10,177,90
7,169,100
23,160,109
30,152,116
35,144,121
41,136,127
41,130,130
43,128,132
39,129,131
42,136,126
48,146,116
56,158,101
66,170,80
80,178,56
98,182,26
117,178,-11
136,165,-47
148,143,-77
152,122,-102
148,106,-120
141,89,-134
131,78,-145
122,71,-153
113,62,-160
103,53,-165
91,43,-167
78,34,-170
65,24,-170
47,14,-170
27,8,-169
5,6,-168
-17,8,-169
-37,18,-172
-50,35,-176
-54,56,-183
-49,78,-186
-41,100,-187
-30,121,-184
-17,141,-176
-2,159,-164
14,175,-147
30,190,-124
52,198,-98
76,199,-72
98,194,-44
129,170,-243
136,154,36
140,136,57
141,118,74
138,103,87
132,90,98
127,79,106
121,67,111
114,55,115
107,42,118
100,31,119
93,20,118
88,10,115
83,0,111
81,-7,106
81,-13,100
81,-18,93
80,-23,88
77,-28,83
72,-32,79
68,-36,73
60,-42,67
51,-49,57
43,-55,46
29,-60,33
15,-64,17
2,-66,-4
-9,-65,-29
-20,-61,-53
-35,-53,-75
-52,-41,-97
-63,-26,-118
-69,-8,-137
-72,10,-152
-69,26,-165
-60,39,-175
-44,50,-185
-23,57,-192
-7,59,-194
4,56,-194
14,54,-193
24,52,-192
32,51,-191
36,53,-191
36,54,-191
31,53,-191
25,54,-193
21,59,-194
